Area,Country code,Area type,Continent,Ember region,Achievemnet in percentage
Argentina,ARG,Country,South America,Latin America and Caribbean,48.93748075146289
Australia,AUS,Country,Oceania,Oceania,58.7796170074651
Austria,AUT,Country,Europe,Europe,74.84593837535013
Belgium,BEL,Country,Europe,Europe,63.32631578947369
Brazil,BRA,Country,South America,Latin America and Caribbean,89.3210586881473
Bulgaria,BGR,Country,Europe,Europe,57.064220183486235
Canada,CAN,Country,North America,North America,87.20417168070598
Chile,CHL,Country,South America,Latin America and Caribbean,54.81770833333333
China,CHN,Country,Asia,Asia,58.54449410808614
Colombia,COL,Country,South America,Latin America and Caribbean,75.05263157894737
Costa Rica,CRI,Country,North America,Latin America and Caribbean,79.15632754342433
Croatia,HRV,Country,Europe,Europe,64.40129449838187
Cyprus,CYP,Country,Europe,Europe,71.55963302752293
Czechia,CZE,Country,Europe,Europe,33.75262054507338
Denmark,DNK,Country,Europe,Europe,39.371031146053824
Estonia,EST,Country,Europe,Europe,36.246786632390744
Finland,FIN,Country,Europe,Europe,49.21465968586388
France,FRA,Country,Europe,Europe,59.281437125748496
Germany,DEU,Country,Europe,Europe,44.70808784145689
Greece,GRC,Country,Europe,Europe,56.46428571428571
Hungary,HUN,Country,Europe,Europe,49.705882352941174
Iceland,ISL,Country,Europe,Europe,105.88235294117645
India,IND,Country,Asia,Asia,34.51026623440416
Indonesia,IDN,Country,Asia,Asia,20.993589743589745
Ireland,IRL,Country,Europe,Europe,32.57868580894534
Israel,ISR,Country,Asia,Middle East,27.570621468926554
Italy,ITA,Country,Europe,Europe,49.76328649969456
Japan,JPN,Country,Asia,Asia,62.50248262164846
Latvia,LVA,Country,Europe,Europe,46.496815286624205
Lithuania,LTU,Country,Europe,Europe,22.48186946011281
Luxembourg,LUX,Country,Europe,Europe,42.16216216216216
Malta,MLT,Country,Europe,Europe,85.18518518518519
Mexico,MEX,Country,North America,Latin America and Caribbean,62.107279693486596
Netherlands,NLD,Country,Europe,Europe,71.86365469947559
New Zealand,NZL,Country,Oceania,Oceania,81.37254901960785
Norway,NOR,Country,Europe,Europe,79.97572815533981
Poland,POL,Country,Europe,Europe,44.658608297941846
Portugal,PRT,Country,Europe,Europe,46.8702290076336
Romania,ROU,Country,Europe,Europe,51.80616740088105
Russian Federation (the),RUS,Country,Europe,Europe,91.33870967741935
Saudi Arabia,SAU,Country,Asia,Middle East,4.582623509369676
Slovakia,SVK,Country,Europe,Europe,58.6046511627907
Slovenia,SVN,Country,Europe,Europe,42.407407407407405
South Africa,ZAF,Country,Africa,Africa,34.6392425726412
South Korea,KOR,Country,Asia,Asia,44.65408805031446
Spain,ESP,Country,Europe,Europe,44.14275486038443
Sweden,SWE,Country,Europe,Europe,81.67570825798674
Switzerland,CHE,Country,Europe,Europe,76.84782608695652
Turkey,TUR,Country,Asia,Europe,64.11184210526315
United Kingdom,GBR,Country,Europe,Europe,46.11045630577538
United States of America,USA,Country,North America,North America,41.31663113006397
